seed,n_arches,max_lifetime_s,mean_lifetime_s,total_arch_time_s,terminal_stall_s,terminal_n_stuck,terminal_n_at_exit,ever_evacuated
42,0,462.53999999957944,0.0,0.0,462.53999999957944,4,1,False
43,0,463.019999999579,0.0,0.0,463.019999999579,1,1,False
44,0,433.83999999960554,0.0,0.0,433.83999999960554,3,1,False
45,1,421.38999999961686,2.47,2.47,421.38999999961686,3,1,False
46,0,474.91999999957227,0.0,0.0,474.91999999957227,7,1,False
47,0,461.3399999995805,0.0,0.0,461.3399999995805,5,1,False
48,2,453.9099999995873,2.0300000000000002,4.0600000000000005,453.9099999995873,3,1,False
49,0,456.1199999995853,0.0,0.0,456.1199999995853,2,1,False
50,0,480.4699999995751,0.0,0.0,480.4699999995751,3,1,False
51,0,438.56999999960124,0.0,0.0,438.56999999960124,4,2,False
52,0,457.58999999958394,0.0,0.0,457.58999999958394,2,2,False
53,0,442.9899999995972,0.0,0.0,442.9899999995972,2,2,False
54,1,415.24999999962245,3.22,3.22,415.24999999962245,3,1,False
55,0,476.84999999957324,0.0,0.0,476.84999999957324,3,1,False
56,0,451.41999999958955,0.0,0.0,451.41999999958955,3,1,False
57,0,405.32999999963147,0.0,0.0,405.32999999963147,3,1,False
58,0,4.19999999999618,0.0,0.0,4.19999999999618,1,1,True
59,0,455.61999999958573,0.0,0.0,455.61999999958573,3,1,False
60,0,477.64999999957365,0.0,0.0,477.64999999957365,2,1,False
61,1,445.35999999959506,2.18,2.18,445.35999999959506,1,1,False
62,2,454.37999999958686,2.485,4.97,454.37999999958686,2,1,False
63,0,477.79999999957374,0.0,0.0,477.79999999957374,9,1,False
64,0,465.8899999995764,0.0,0.0,465.8899999995764,3,1,False
65,0,462.84999999957915,0.0,0.0,462.84999999957915,3,1,False
66,0,460.52999999958126,0.0,0.0,460.52999999958126,2,2,False
