scenario,metric,test,comparison,estimate,ci_low,ci_high,p_uncorrected,effect_size_type,effect_size_value,n,note,p_holm_sidak
bottleneck_normal,collision_count,NB_GLM,C2 vs C1,0.7095788960339434,0.6404084062297021,0.7862204880492362,5.522863839572795e-11,IRR,0.7095788960339434,500,"alpha=0.1426 (SE=0.0110), LR vs Poisson chi2=1381.7 p=2.02e-302, NB_LL=-2022.2, Pois_LL=-2713.1",8.836582139656229e-10
bottleneck_normal,collision_count,NB_GLM,C3 vs C1,0.9292869979389594,0.8396964917095219,1.0284362660373503,0.15622989647471194,IRR,0.9292869979389594,500,"alpha=0.1426 (SE=0.0110), LR vs Poisson chi2=1381.7 p=2.02e-302, NB_LL=-2022.2, Pois_LL=-2713.1",0.5983871448974187
bottleneck_normal,collision_count,NB_GLM,C4 vs C1,0.6953682964614489,0.6275189734112574,0.7705537015002758,4.039596027578164e-12,IRR,0.6953682964614489,500,"alpha=0.1426 (SE=0.0110), LR vs Poisson chi2=1381.7 p=2.02e-302, NB_LL=-2022.2, Pois_LL=-2713.1",6.867313246660949e-11
bottleneck_deadlock,evacuation_survival,Cox_PH,C2 vs C1,8.49462277411202e-08,0.0,inf,0.9961533706561592,HR,8.49462277411202e-08,100,COMPLETE SEPARATION: C2 has 0/25 events; HR is not interpretable. Use Fisher exact instead. (PH assumption holds),0.9999852034426912
bottleneck_deadlock,evacuation_survival,Cox_PH,C3 vs C1,17.230592347205206,2.2518246075257022,131.84566490806407,0.006110453790178865,HR,17.230592347205206,100,PH assumption holds,0.04785085553304432
bottleneck_deadlock,evacuation_survival,Cox_PH,C4 vs C1,19.61072223915115,2.573064433297271,149.46397057314044,0.004078630695843228,HR,19.61072223915115,100,PH assumption holds,0.03611447262767419
bottleneck_deadlock,completion_rate,Fisher_exact,C2 vs C1,inf,,,1.0,odds_ratio,inf,50,"C1=1/25, C2=0/25",1.0
bottleneck_deadlock,completion_rate,Fisher_exact,C3 vs C1,0.038461538461538464,,,0.0002867527275873785,odds_ratio,0.038461538461538464,50,"C1=1/25, C3=13/25",0.003149761399768722
bottleneck_deadlock,completion_rate,Fisher_exact,C4 vs C1,0.03273809523809524,,,0.0001019213193818859,odds_ratio,0.03273809523809524,50,"C1=1/25, C4=14/25",0.0012223704604023896
bidirectional,mean_speed,LMM,C2 vs C1,0.06592811044192069,0.039462488200913776,0.09239373268292761,1.0478294713620232e-06,coef,0.06592811044192069,100,,1.4669512686346396e-05
bidirectional,mean_speed,LMM,C3 vs C1,0.05499398481704853,0.028528362576041615,0.08145960705805544,4.647360411754316e-05,coef,0.05499398481704853,100,,0.0006039884181529322
bidirectional,mean_speed,LMM,C4 vs C1,0.07406532014644059,0.04759969790543367,0.1005309423874475,4.133437655783797e-08,coef,0.07406532014644059,100,,6.200154689718798e-07
bidirectional,agents_exited,LMM,C2 vs C1,-1.3199999999999643,-7.658389770250784,5.018389770250856,0.6831474923376443,coef,-1.3199999999999643,100,,0.968189430387717
bidirectional,agents_exited,LMM,C3 vs C1,-4.999999999999955,-11.338389770250775,1.3383897702508643,0.12207906642345538,coef,-4.999999999999955,100,,0.5980353766823305
bidirectional,agents_exited,LMM,C4 vs C1,4.760000000000034,-1.5783897702507854,11.098389770250854,0.14104990063969888,coef,4.760000000000034,100,,0.5983871448974187
crossing,mean_speed,LMM,C2 vs C1,0.008033412234778475,0.003573509025455104,0.012493315444101845,0.0004149471816917227,coef,0.008033412234778475,100,,0.004141732231863494
crossing,mean_speed,LMM,C3 vs C1,0.020157816959888355,0.015697913750564983,0.024617720169211727,8.100978484062941e-19,coef,0.020157816959888355,100,,1.4581761271313294e-17
crossing,mean_speed,LMM,C4 vs C1,0.030987557490122473,0.0265276542807991,0.03544746069944584,3.134704283579135e-42,coef,0.030987557490122473,100,,6.269408567158271e-41
crossing,agents_exited,LMM,C2 vs C1,10.160000000000005,8.694081421720806,11.625918578279204,4.973814595870794e-42,coef,10.160000000000005,100,,9.450247732154508e-41
crossing,agents_exited,LMM,C3 vs C1,0.48000000000000637,-0.9859185782791924,1.9459185782792052,0.5210224661521874,coef,0.48000000000000637,100,,0.9473667031458984
crossing,agents_exited,LMM,C4 vs C1,11.160000000000004,9.694081421720805,12.625918578279203,2.4008202753454124e-50,coef,11.160000000000004,100,,5.0417225782253665e-49
