config,width,zone,mean,std,median,q25,q75,n
C1,0.8,downstream,0.0,0.0,0.0,0.0,0.0,25
C1,0.8,throat,0.08,0.4,0.0,0.0,0.0,25
C1,0.8,upstream,0.0,0.0,0.0,0.0,0.0,25
C1,1.0,downstream,0.0,0.0,0.0,0.0,0.0,25
C1,1.0,throat,1.2,1.9578900207451218,0.0,0.0,3.0,25
C1,1.0,upstream,0.0,0.0,0.0,0.0,0.0,25
C4,0.8,downstream,0.0,0.0,0.0,0.0,0.0,25
C4,0.8,throat,0.0,0.0,0.0,0.0,0.0,25
C4,0.8,upstream,0.0,0.0,0.0,0.0,0.0,25
C4,1.0,downstream,0.0,0.0,0.0,0.0,0.0,25
C4,1.0,throat,0.0,0.0,0.0,0.0,0.0,25
C4,1.0,upstream,0.0,0.0,0.0,0.0,0.0,25
