scenario,config,seed,epsilon_sigma,wall_time_s,n_steps,evacuation_time,mean_speed,max_density,collision_count,flow_rate,agents_exited,mean_risk,max_risk,time_above_critical
BottleneckScenario,C1+eps,42,0.05,193.03293600000325,30442,304.41999999986814,0.35452475160855645,2.2635369684180673,370,0.3284935286776273,100,0.0,0.0,0
BottleneckScenario,C1+eps,43,0.05,257.983940399994,60001,inf,0.34766031914346507,2.334272498681132,290,0.16499725004594273,99,0.0,0.0,0
BottleneckScenario,C1+eps,44,0.05,215.96869520000473,60001,inf,0.30718575237219964,2.369640263812664,348,0.16499725004594273,99,0.0,0.0,0
BottleneckScenario,C1+eps,45,0.05,210.4690389000025,60001,inf,0.33472912543465344,2.2635369684180673,315,0.16499725004594273,99,0.0,0.0,0
BottleneckScenario,C1+eps,46,0.05,211.25059070000134,60001,inf,0.3361227344614071,2.369640263812664,364,0.16499725004594273,99,0.0,0.0,0
BottleneckScenario,C1+eps,47,0.05,177.55855050000537,37638,376.3799999998027,0.34128180974957345,2.2989047335495996,293,0.2656889313992572,100,0.0,0.0,0
BottleneckScenario,C1+eps,48,0.05,226.6671417000034,60001,inf,0.3400115239663244,2.4050080289441964,359,0.16499725004594273,99,0.0,0.0,0
BottleneckScenario,C1+eps,49,0.05,158.96493740000005,19062,190.6199999999716,0.365274429675377,2.369640263812664,335,0.52460392403743,100,0.0,0.0,0
BottleneckScenario,C1+eps,50,0.05,233.7129125000065,60001,inf,0.3404795204946195,2.369640263812664,375,0.16499725004594273,99,0.0,0.0,0
BottleneckScenario,C1+eps,51,0.05,246.18333470000653,60001,inf,0.340859898717478,2.4050080289441964,395,0.16333061115658978,98,0.0,0.0,0
BottleneckScenario,C1+eps,52,0.05,279.1466950000031,60001,inf,0.34135256881256176,2.2989047335495996,280,0.16499725004594273,99,0.0,0.0,0
BottleneckScenario,C1+eps,53,0.05,266.71628829999827,60001,inf,0.3522435225258741,2.369640263812664,295,0.16499725004594273,99,0.0,0.0,0
BottleneckScenario,C1+eps,54,0.05,265.0594928000064,60001,inf,0.34719137889749596,2.334272498681132,268,0.16499725004594273,99,0.0,0.0,0
BottleneckScenario,C1+eps,55,0.05,244.66722859999572,60001,inf,0.3527876732419098,2.4050080289441964,304,0.16499725004594273,99,0.0,0.0,0
BottleneckScenario,C1+eps,56,0.05,246.3626399999921,60001,inf,0.3263936281016541,2.334272498681132,433,0.16499725004594273,99,0.0,0.0,0
BottleneckScenario,C1+eps,57,0.05,260.4586745000124,60001,inf,0.34810989377011875,2.334272498681132,388,0.16499725004594273,99,0.0,0.0,0
BottleneckScenario,C1+eps,58,0.05,174.50522289999935,14486,144.86000000001323,0.3987223863438673,2.369640263812664,391,0.6903216899074338,100,0.0,0.0,0
BottleneckScenario,C1+eps,59,0.05,153.19054330000654,13669,136.69000000002066,0.39622624574280263,2.334272498681132,267,0.7315824127586867,100,0.0,0.0,0
BottleneckScenario,C1+eps,60,0.05,174.6782716000016,14529,145.29000000001284,0.4076989239264332,2.4403757940757287,279,0.6882786151833654,100,0.0,0.0,0
BottleneckScenario,C1+eps,61,0.05,246.67825070000254,60001,inf,0.3489071676809765,2.369640263812664,366,0.16499725004594273,99,0.0,0.0,0
BottleneckScenario,C1+eps,62,0.05,180.48900909999793,15266,152.66000000000614,0.40066651533112174,2.369640263812664,365,0.6550504388837677,100,0.0,0.0,0
BottleneckScenario,C1+eps,63,0.05,246.21416010000394,60001,inf,0.33550907412769065,2.2989047335495996,308,0.16166397226723683,97,0.0,0.0,0
BottleneckScenario,C1+eps,64,0.05,238.9162451000011,60001,inf,0.35003239419606347,2.2989047335495996,451,0.16499725004594273,99,0.0,0.0,0
BottleneckScenario,C1+eps,65,0.05,254.29634200000146,60001,inf,0.34146593449072354,2.334272498681132,269,0.16499725004594273,99,0.0,0.0,0
BottleneckScenario,C1+eps,66,0.05,247.32751589998952,60001,inf,0.3563040551681566,2.369640263812664,346,0.16499725004594273,99,0.0,0.0,0
