eval_id,gamma,rho_max,A,B,rmse,wall_seconds
1,1.913,5.4,2000.0,0.08,0.23508531426498053,313.7545838356018
2,1.913,5.4,2000.0,0.08,0.23508531426498053,398.6426899433136
3,2.0086500000000003,5.4,2000.0,0.08,0.24873715114931844,675.7961118221283
4,1.913,5.670000000000001,2000.0,0.08,0.24018150933844973,431.3897888660431
5,1.8173499999999998,5.67,2000.0,0.08,0.22722827256978634,469.8229820728302
6,1.7216999999999993,5.805,2000.0,0.08,0.21594498271747967,479.74480509757996
7,1.7216999999999996,5.534999999999999,2000.0,0.08,0.21019468983969003,401.14536213874817
8,1.6260499999999998,5.467499999999999,2000.0,0.08,0.19464553561918568,410.27968406677246
9,1.434749999999999,5.872499999999999,2000.0,0.08,0.17098022670758128,605.4049150943756
10,1.1956249999999984,6.108749999999997,2000.0,0.08,0.135442257606598,323.97307801246643
11,1.0999749999999988,5.771249999999997,2000.0,0.08,0.11770241365464833,485.24704599380493
12,0.7891124999999981,5.754374999999996,2000.0,0.08,0.10606387721599654,432.05287075042725
13,0.3586874999999967,6.395624999999994,2000.0,0.08,0.219912624715188,360.5758390426636
14,1.3092093749999991,5.699531249999998,2000.0,0.08,0.14943571543643608,386.966511964798
15,0.6755281249999974,6.163593749999995,2000.0,0.08,0.11588802724476888,362.20936012268066
16,0.3,5.809218749999994,2000.0,0.08,0.25284147946216556,337.47295594215393
17,0.9639726562499981,6.033867187499997,2000.0,0.08,0.10501078853196535,550.2492949962616
18,1.0775570312499987,5.624648437499998,2000.0,0.08,0.1135344282414189,454.82207012176514
19,0.9770498046874982,5.759384765624998,2000.0,0.08,0.10598007343986653,382.8104441165924
20,1.1519099609374983,6.038876953124998,2000.0,0.08,0.12732226440676633,440.04288697242737
21,0.8798118652343732,5.8255004882812464,2000.0,0.08,0.10117432831800988,317.4416902065277
22,0.8667347167968729,6.099982910156245,2000.0,0.08,0.10060414722211591,505.34527611732483
23,0.81157717285156,6.270281982421869,2000.0,0.08,0.10207651247156256,422.20546102523804
24,0.782573925781248,5.891616210937496,2000.0,0.08,0.10364608262626714,432.423889875412
25,0.8279236083984356,5.927178955078121,2000.0,0.08,0.0998575199546169,233.67528009414673
26,0.8148464599609353,6.201661376953119,2000.0,0.08,0.10115807093047026,409.14118695259094
27,0.8310878112792948,6.107621154785152,2000.0,0.08,0.10266484107888345,384.0375590324402
28,0.8473291625976542,6.013580932617183,2000.0,0.08,0.10071940254756656,398.28385496139526
29,0.8538677368164044,5.876339721679684,2000.0,0.08,0.10019543738532521,379.05540013313293
30,0.8344621826171856,5.789937744140621,2000.0,0.08,0.10129838112812298,421.2784230709076
31,0.8441124176025371,5.957670135498042,2000.0,0.08,0.10100951421735693,282.80680227279663
32,0.8408956726074199,5.901759338378902,2000.0,0.08,0.10036313841055866,461.38467502593994
33,0.8376263854980449,5.970379943847652,2000.0,0.08,0.09965334760709428,438.80591201782227
34,0.8246543212890607,5.995799560546871,2000.0,0.08,0.10132615763343318,343.7917182445526
35,0.8368353347778301,5.925269393920894,2000.0,0.08,0.09988949665645676,363.83474373817444
36,0.8287146591186505,5.972289505004879,2000.0,0.08,0.10124955165056175,363.2082169055939
37,0.8348051658630352,5.93702442169189,2000.0,0.08,0.10001451701066433,247.02166604995728
38,0.8327749969482403,5.9487794494628865,2000.0,0.08,0.10134765233269895,258.51353311538696
39,0.8372308601379375,5.947824668884273,2000.0,0.08,0.10080457374104616,431.2877299785614
40,0.8420822486877422,5.9694251632690385,2000.0,0.08,0.10079781361981133,373.493803024292
41,0.8424777740478497,5.991980438232417,2000.0,0.08,0.10020920787919703,420.5158431529999
42,0.8380219108581526,5.992935218811031,2000.0,0.08,0.09977791130395981,475.9431607723236
43,0.8331705223083479,5.971334724426265,2000.0,0.08,0.09960356661666626,242.77046012878418
44,0.8285168964385972,5.96101186752319,2000.0,0.08,0.10195488353801019,488.3332040309906
45,0.8327749969482403,5.9487794494628865,2000.0,0.08,0.10134765233269895,527.0129318237305
46,0.8367101823806745,5.981896276473995,2000.0,0.08,0.09970232761933123,538.923014163971
47,0.8340867254257184,5.959818391799923,2000.0,0.08,0.09972749666259992,289.8349597454071
48,0.8360543181419355,5.976376805305477,2000.0,0.08,0.10136950575795957,359.94309401512146
49,0.8353984539031964,5.970857334136959,2000.0,0.08,0.10239460690394754,393.1325578689575
50,0.8349403523445111,5.97661550045013,2000.0,0.08,0.10034822792601732,361.5115592479706
51,0.8327124207496626,5.977092890739437,2000.0,0.08,0.09944989263935272,338.1382999420166
52,0.8327124207496626,5.977092890739437,2000.0,0.08,0.09944989263935272,331.5642068386078
