config,dt,seed,contact_overlap_count,evac_time,n_evacuated
C1,0.005,42,110,57.45000000001094,50
C1,0.005,43,115,58.58500000001152,50
C1,0.005,44,106,51.58500000000794,50
C1,0.005,45,147,58.830000000011644,50
C1,0.005,46,152,56.58000000001049,50
C1,0.01,42,54,58.43999999999694,50
C1,0.01,43,42,58.139999999997,50
C1,0.01,44,29,50.55999999999851,50
C1,0.01,45,35,63.21999999999599,50
C1,0.01,46,70,57.50999999999713,50
C1,0.02,42,24,58.28000000000351,50
C1,0.02,43,26,63.58000000000434,50
C1,0.02,44,11,58.00000000000347,50
C1,0.02,45,20,57.720000000003424,50
C1,0.02,46,40,,49
C4,0.005,42,86,51.49500000000789,50
C4,0.005,43,99,52.6800000000085,50
C4,0.005,44,63,45.34000000000474,50
C4,0.005,45,111,55.58000000000998,50
C4,0.005,46,115,51.3200000000078,50
C4,0.01,42,33,52.139999999998196,50
C4,0.01,43,29,60.079999999996616,50
C4,0.01,44,25,51.21999999999838,50
C4,0.01,45,21,54.57999999999771,50
C4,0.01,46,36,51.04999999999841,50
C4,0.02,42,13,50.22000000000225,50
C4,0.02,43,12,,48
C4,0.02,44,10,44.84000000000141,50
C4,0.02,45,15,52.82000000000266,50
C4,0.02,46,23,,49
