model,seed,evacuation_time,agents_exited,wall_time_s
CollisionFreeSpeed,42,35.2,50,0.4764833000003818
CollisionFreeSpeed,43,33.15,50,0.4438020000002325
CollisionFreeSpeed,44,32.230000000000004,50,0.4172192000000905
CollisionFreeSpeed,45,34.18,50,0.4866978000000017
CollisionFreeSpeed,46,32.85,50,0.4348983999998381
CollisionFreeSpeed,47,32.78,50,0.4652391999998144
CollisionFreeSpeed,48,33.54,50,0.4408113999998022
CollisionFreeSpeed,49,34.54,50,0.4768389999999272
CollisionFreeSpeed,50,34.46,50,0.4299971999998888
CollisionFreeSpeed,51,33.56,50,0.4564018999999462
CollisionFreeSpeed,52,32.82,50,0.4634025999998812
CollisionFreeSpeed,53,32.83,50,0.426458900000398
CollisionFreeSpeed,54,34.58,50,0.4575396999998702
CollisionFreeSpeed,55,33.71,50,0.4377988999999616
CollisionFreeSpeed,56,32.78,50,0.4324486000000433
CollisionFreeSpeed,57,32.93,50,0.4391338999998879
CollisionFreeSpeed,58,36.6,50,0.5411752999998498
CollisionFreeSpeed,59,33.25,50,0.4140820999996322
CollisionFreeSpeed,60,31.65,50,0.3908716999999342
CollisionFreeSpeed,61,32.46,50,0.4386976999999206
CollisionFreeSpeed,62,32.62,50,0.4396545999998125
CollisionFreeSpeed,63,33.49,50,0.4367585999998482
CollisionFreeSpeed,64,32.72,50,0.4391297000001941
CollisionFreeSpeed,65,34.17,50,0.4443385999998099
CollisionFreeSpeed,66,36.16,50,0.4813580000000002
